record_date,devs_1dau,devs_7dau,devs_28dau
2022-01-26,5601,16145,35974
2022-01-27,5918,16195,36368
2022-01-28,5398,16130,36826
2022-01-29,2633,16220,37061
2022-01-30,2716,16221,37245
2022-01-31,5318,16083,37401
2022-02-01,5505,15966,37601
2022-02-02,5346,15849,37584
2022-02-03,5582,15683,37646
2022-02-04,5250,15346,37618
2022-02-05,2400,15202,37648
2022-02-06,2620,15135,37597
2022-02-07,6049,15714,37772
2022-02-08,6114,15925,37856
2022-02-09,6281,16281,37886
2022-02-10,6340,16483,37978
2022-02-11,5520,16456,37968
2022-02-12,2512,16590,38032
2022-02-13,2664,16648,38074
2022-02-14,6039,16708,38178
2022-02-15,6389,16902,38288
2022-02-16,6373,16852,38415
2022-02-17,6295,16680,38502
2022-02-18,5801,16632,38565
2022-02-19,2696,16739,38583
2022-02-20,2886,16848,38640
2022-02-21,6110,17061,38763
2022-02-22,6535,17221,38881
2022-02-23,6259,17196,38982
2022-02-24,6397,17225,39031
2022-02-25,5732,17072,39028
2022-02-26,2656,17171,39008
2022-02-27,2783,17119,38973
2022-02-28,5989,17146,39136
2022-03-01,5892,16947,39077
2022-03-02,6289,16901,39285
2022-03-03,6323,16890,39441
2022-03-04,5932,16851,39532
2022-03-05,2733,16999,39710
2022-03-06,2787,17025,39772
2022-03-07,6523,17282,39893
2022-03-08,6608,17520,40068
2022-03-09,6806,17721,40134
2022-03-10,6828,17924,40209
2022-03-11,6257,17984,40327
2022-03-12,2826,18019,40427
2022-03-13,2899,18103,40538
2022-03-14,6751,18311,40850
2022-03-15,6816,18393,40990
2022-03-16,6752,18459,41223
2022-03-17,6783,18448,41393
2022-03-18,5859,18182,41408
2022-03-19,2820,18261,41572
2022-03-20,2908,18295,41591
2022-03-21,6636,18376,41698
2022-03-22,7150,18531,41876
2022-03-23,7141,18656,42075
2022-03-24,7524,19008,42504
2022-03-25,6416,19082,42553
2022-03-26,3006,19242,42734
2022-03-27,3163,19322,42846
2022-03-28,7165,19529,43086
2022-03-29,7269,19616,43393
2022-03-30,7232,19730,43729
2022-03-31,7433,19692,44082
2022-04-01,6616,19658,44180
2022-04-02,3236,19790,44361
2022-04-03,3391,19952,44562
2022-04-04,7115,20189,44920
2022-04-05,7196,20232,45168
2022-04-06,7494,20434,45359
2022-04-07,7660,20394,45596
2022-04-08,7030,20388,45699
2022-04-09,3284,20579,45920
2022-04-10,3420,20650,46091
2022-04-11,7371,20799,46381
2022-04-12,7540,20929,46685
2022-04-13,7365,20884,46808
2022-04-14,6882,20573,46983
2022-04-15,5053,19878,46975
2022-04-16,3049,19820,47106
2022-04-17,3202,19732,47190
2022-04-18,6184,19520,47382
2022-04-19,7519,19600,47572
2022-04-20,7522,19759,47856
2022-04-21,7499,19793,47811
2022-04-22,7028,20288,47989
2022-04-23,3351,20435,48080
2022-04-24,3864,20729,48317
2022-04-25,7864,21349,48650
2022-04-26,8035,21687,48865
2022-04-27,7984,21907,49140
2022-04-28,7904,22019,49189
2022-04-29,6958,21876,49286
2022-04-30,3228,21856,49368
2022-05-01,3193,21693,49335
2022-05-02,6106,21238,49280
2022-05-03,6334,20823,49261
2022-05-04,6838,20354,49179
2022-05-05,7437,19999,49115
2022-05-06,7002,19845,49101
2022-05-07,3615,19940,49174
2022-05-08,3528,20143,49225
2022-05-09,7912,20880,49393
2022-05-10,8344,21704,49766
2022-05-11,8371,22306,50171
2022-05-12,8295,22472,50443
2022-05-13,7400,22464,50811
2022-05-14,3387,22460,50972
2022-05-15,3666,22580,51153
2022-05-16,8163,22812,51551
2022-05-17,8592,23028,51998
2022-05-18,8457,22994,52276
2022-05-19,8419,22991,52544
2022-05-20,7683,22883,52609
2022-05-21,3494,22916,52653
2022-05-22,3887,23110,52797
2022-05-23,8579,23350,53042
2022-05-24,8918,23559,53377
2022-05-25,8859,23819,53586
